Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_x,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_y
2022,3,Salta,40.0,97.0,50.0,10.0,7.0,205.0,114.0,1.49,32923.0,71.199,5.662,1.001,85661.0,6.491,204541.0
2022,3,San Juan,39.0,23.0,12.0,22.0,8.0,103.0,24.0,2.027,30324.0,11.247,22.157,6.78,19221.0,11.619,103399.0
2022,3,San Luis,7.0,29.0,248.0,71.0,15.0,122.0,60.0,307.0,6563.0,20.813,12.061,67.438,13.0,14.815,122070.0
2022,3,Santa Cruz,10.0,24.0,11.0,4.0,582.0,50.0,52.0,6.841,12342.0,11.313,11.378,2.333,4604.0,647.0,49510.0
2022,3,Santa Fe,184.0,426.0,215.0,43.0,20.0,888.0,468.0,11.132,132709.0,198.588,70.897,57.455,396352.0,20.209,887810.0
2022,3,Santiago Del Estero,15.0,81.0,13.0,7.0,3.0,119.0,178.0,1.384,28357.0,58.982,16.087,910.0,12342.0,792.0,119032.0
2022,3,Tierra Del Fuego,13.0,40.0,403.0,125.0,651.0,54.0,22.0,831.0,12002.0,14.815,20.102,1.752,1021.0,3.351,53896.0
2022,3,Tucumán,78.0,19.0,162.0,4.0,519.0,263.0,39.0,2.047,32571.0,39.018,25.214,4.348,159600.0,280.0,263117.0
2022,2,Buenos Aires,351.0,3.0,1.0,127.0,71.0,5.0,30.639,28.323,295238.0,307.554,273.954,129.869,3535757.0,65.849,4667183.0
2022,2,Capital Federal,145.0,1.0,122.0,6.0,32.0,2.0,517.0,5.98,36036.0,72.434,55.372,31.571,1229254.0,105.607,1536771.0
2022,2,Catamarca,12.0,9.0,42.0,1.0,2.0,67.0,71.0,413.0,3678.0,6.155,7.165,3.393,43926.0,2.207,67008.0
2022,2,Chaco,30.0,61.0,42.0,8.0,2.0,144.0,461.0,1.047,17603.0,20.109,8.391,15.974,76271.0,3.708,143564.0
2022,2,Chubut,45.0,69.0,10.0,30.0,9.0,163.0,109.0,1.444,45804.0,31.217,34.29,14.526,15394.0,20.021,162805.0
2022,2,Córdoba,179.0,468.0,309.0,61.0,10.0,1.0,99.0,11.971,160486.0,120.485,71.923,28.645,619400.0,13.426,1026435.0
2022,2,Corrientes,38.0,76.0,18.0,7.0,5.0,145.0,67.0,3.937,24253.0,24.842,8.001,21.719,55071.0,7.107,144997.0
2022,2,Entre Ríos,64.0,131.0,36.0,26.0,13.0,269.0,107.0,5.656,48637.0,48.557,18.512,32.355,98769.0,16.759,269352.0
2022,2,Formosa,15.0,25.0,10.0,17.0,212.0,68.0,97.0,407.0,23834.0,19.706,6.33,591.0,16326.0,590.0,67881.0
2022,2,Jujuy,20.0,54.0,34.0,4.0,2.0,115.0,58.0,1.829,19458.0,15.79,37.786,549.0,37391.0,2.453,115314.0
2022,2,La Pampa,8.0,59.0,23.0,20.0,1.0,112.0,68.0,1.887,62546.0,9.842,11.8,5.247,17125.0,3.012,111527.0
2022,2,La Rioja,8.0,53.0,19.0,6.0,31.0,86.0,18.0,728.0,3179.0,3.89,23.814,5.481,48920.0,0.0,86030.0
2022,2,Mendoza,38.0,78.0,136.0,27.0,2.0,280.0,103.0,2.954,44961.0,22.557,64.138,19.543,121366.0,3.94,279562.0
2022,2,Misiones,37.0,89.0,34.0,11.0,8.0,179.0,51.0,3.808,37254.0,21.712,12.774,19.757,75107.0,8.35,178813.0
2022,2,Neuquén,30.0,75.0,29.0,27.0,1.0,162.0,134.0,999.0,38826.0,15.066,9.205,2.039,76982.0,18.717,161968.0
2022,2,Río Negro,36.0,47.0,41.0,17.0,19.0,160.0,111.0,1.227,33364.0,17.938,27.168,13.714,41972.0,24.27,159764.0
2022,2,Salta,43.0,96.0,47.0,10.0,7.0,203.0,114.0,1.53,33732.0,72.661,6.012,1.156,81478.0,6.494,203177.0
