Año,Trimestre,Provincia,Accesos por cada 100 hab,Accesos por cada 100 hogares
2022,4,Salta,14.04,57.96
2022,3,Salta,13.99,57.76
2022,2,Salta,13.94,57.54
2022,1,Salta,13.59,56.11
2022,4,San Juan,12.96,50.88
2022,3,San Juan,12.94,50.8
2022,2,San Juan,12.6,49.46
2022,1,San Juan,11.09,43.55
2022,4,San Luis,25.83,90.27
2022,3,San Luis,23.39,81.74
2022,2,San Luis,23.4,81.76
2022,1,San Luis,23.1,80.72
2022,4,Santa Cruz,12.95,43.53
2022,3,Santa Cruz,12.85,43.19
2022,2,Santa Cruz,12.84,43.15
2022,1,Santa Cruz,12.89,43.34
2022,4,Santa Fe,24.65,78.4
2022,3,Santa Fe,24.7,78.55
2022,2,Santa Fe,24.5,77.9
2022,1,Santa Fe,24.31,77.3
2022,4,Santiago Del Estero,11.92,48.05
2022,3,Santiago Del Estero,11.91,47.98
2022,2,Santiago Del Estero,11.84,47.7
2022,1,Santiago Del Estero,11.71,47.17
2022,4,Tierra Del Fuego,30.07,101.44
2022,3,Tierra Del Fuego,29.5,99.51
2022,2,Tierra Del Fuego,29.6,99.86
2022,1,Tierra Del Fuego,29.14,98.29
2022,4,Tucumán,15.12,61.04
2022,3,Tucumán,15.14,61.14
2022,2,Tucumán,14.69,59.31
2022,1,Tucumán,14.22,57.39
